duty_name,duty_addr,wgs84lon,wgs84lat,dutyTel,dutyEmclsName
(의)내경의료재단울산제일병원,울산광역시 남구 남산로354번길 26 (신정동),129.30701143429678,35.54823820112527,"052-220-3300, 052-220-3334",응급실운영신고기관
(의)서일의료재단기장병원,부산광역시 기장군 기장읍 대청로72번길 6,129.21649161387128,35.23602946449906,"051-723-0171, 051-723-2119",지역응급의료기관
(의)성세의료재단 뉴성민병원,"인천광역시 서구 칠천왕로33번길 17 (석남동, 신석로 70(석남1동, 성민병원))",126.669478649026,37.5089936801167,"032-726-1000, 032-726-1190",지역응급의료기관
(의)영문의료재단다보스병원,"경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)",127.21049868474802,37.234641294534285,"031-8021-2114, 031-8021-2130",지역응급의료센터
(의)효심의료재단용인서울병원,경기도 용인시 처인구 고림로 81 (고림동),127.2144914405,37.240316373,"031-337-0114, 031-336-0119",지역응급의료기관
(재)미리내천주성삼성직수도회천주성삼병원,"대구광역시 수성구 달구벌대로 3190 (신매동, 천주성삼병원)",128.70573339664242,35.84022544517349,"053-790-1000, 053-790-0555",지역응급의료기관
KS병원,광주광역시 광산구 왕버들로 220 (수완동),126.83322475289853,35.197963178976366,"062-975-9000, 062-975-9119",지역응급의료센터
가톨릭관동대학교국제성모병원,"인천광역시 서구 심곡로100번길 25 (심곡동, 인천국제성모병원)",126.68360486878781,37.542372653918065,"1600-8291, 032-290-3065",지역응급의료센터
가톨릭대학교 인천성모병원,인천광역시 부평구 동수로 56 (부평동),126.724708130675,37.4845586499062,"032-280-6364, 032-280-6107",지역응급의료센터
가톨릭대학교부천성모병원,"경기도 부천시 원미구 소사로 327, 가톨릭대학교 부천성모병원 (소사동)",126.79243459154999,37.4874477394264,"032-1577-0675, 032-340-2100",지역응급의료센터
가톨릭대학교성빈센트병원,경기도 수원시 팔달구 중부대로 93 (지동),127.02744945028702,37.27792234538125,"031-1577-8588, 031-249-7370",지역응급의료센터
가톨릭대학교여의도성모병원,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",126.93673129599131,37.51827233800711,"1661-7575, 02-3779-1188",지역응급의료센터
가톨릭대학교은평성모병원,서울특별시 은평구 통일로 1021 (진관동),126.91615048739686,37.633608409726854,"02-1811-7755, 02-1811-7755",지역응급의료센터
가톨릭대학교의정부성모병원,"경기도 의정부시 천보로 271, 의정부성모병원 (금오동)",127.07767290194454,37.75865547828227,"1661-7500, 031-820-5200",권역응급의료센터
강남고려병원,서울특별시 관악구 관악로 242 (봉천동),126.956781703053,37.4856188363947,"1661-8267, 02-874-7227",응급실운영신고기관
강남더드림병원,"서울특별시 강남구 선릉로 404, 더드림병원 (대치동)",127.050967336445,37.5009902618151,"02-1661-1177, 070-4676-5002",응급실운영신고기관
강남베드로병원,"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",127.0395873429168,37.485612179925724,"1544-7522, 1544-7522",응급실운영신고기관
강남병원,"경기도 용인시 기흥구 중부대로 411, 강남병원 (신갈동)",127.11140719951389,37.27377983891884,"031-300-0114, 031-300-0119",지역응급의료센터
강남종합병원,"대구광역시 동구 동촌로 207, 강남병원 (방촌동)",128.66345602650745,35.88300855242191,"053-980-9000, 053-980-9018",지역응급의료기관
강남힐병원,"서울특별시 관악구 남부순환로 1449, 강남힐병원 (신림동)",126.911648078471,37.4816513439454,"02-853-4600, 02-853-9100",응급실운영신고기관
강동경희대학교의대병원,서울특별시 강동구 동남로 892 (상일동),127.157084787845,37.5520459324005,"02-440-7114, 02-440-7000",권역응급의료센터
강릉아산병원,강원특별자치도 강릉시 사천면 방동길 38,128.85771413305145,37.818426685036066,"033-610-3114, 033-610-3333",권역응급의료센터
강병원,경상남도 고성군 고성읍 중앙로 49,128.32528942283565,34.97415924940364,"055-673-0101, 055-673-4848",지역응급의료기관
강북삼성병원,서울특별시 종로구 새문안로 29 (평동),126.96793805451702,37.568497631233825,"02-2001-2001, 02-2001-1000",지역응급의료센터
강북으뜸병원,"서울특별시 강북구 도봉로 187, 지하1층, 2층~5층 (미아동)",127.026184524499,37.6254205559935,"02-986-0334, 02-986-0334",응급실운영신고기관
강서케이병원,"서울특별시 강서구 가로공원로 187, 나누리강서병원 지1층~7층 (화곡동)",126.836699017573,37.5373576230977,"02-1833-7530, 02-6905-8585",응급실운영신고기관
강원대학교병원,강원특별자치도 춘천시 백령로 156 (효자동),127.74448573764938,37.87497158192399,"033-258-2000, 033-258-2245",지역응급의료센터
